,A1-B000610-3_56_F-1-1__bladder_cell,A1-MAA000487-3_10_M-1-1__bladder_cell,A1-B002764-3_38_F-1-1__bladder_urothelial_cell
7215285795798,20.0,2.0,
12290763577842,1.0,15.0,
13275177070369,3.0,10.0,
17454240377307,17.0,1.0,
29190104568494,3.0,3.0,
59766099872120,1.0,2.0,
79567150580843,,2.0,4.0
81537898419503,4.0,6.0,
87394615601115,1.0,1.0,
89362417763282,7.0,7.0,
91411007814088,12.0,1.0,
113000222478351,14.0,7.0,
122021380070391,1.0,1.0,
132242401057673,11.0,3.0,
138660100354690,,1.0,1.0
139692291879505,25.0,8.0,
140738397883624,124.0,85.0,
165568950813076,15.0,9.0,
171794956858086,2.0,1.0,1.0
209410885084946,5.0,54.0,
212685601821442,6.0,1.0,
222245670253394,6.0,3.0,
229879514868002,,1.0,4.0
235548726933888,1.0,2.0,
238810212816881,,3.0,40.0
243103903211712,2.0,1.0,
258520950628714,5.0,14.0,
261433242471262,39.0,160.0,
279081595294430,45.0,67.0,
280995391487464,7.0,18.0,
284552515156887,1.0,1.0,
296360018315763,2.0,25.0,
306882542392201,5.0,3.0,
311491667712983,31.0,28.0,
321797371588609,5.0,7.0,
333643952013052,40.0,2.0,
335892243826025,,1.0,6.0
337046873922112,15.0,1.0,
349546053183443,3.0,4.0,
357476988269480,34.0,21.0,
390065361815395,23.0,21.0,
394031160505449,1.0,1.0,1.0
395041855771997,56.0,66.0,
399277421037994,30.0,27.0,
410339365938889,3.0,5.0,
430068796555508,25.0,6.0,
438038187804877,9.0,4.0,
457167897441864,5.0,7.0,
462510752445400,19.0,3.0,
466262879253681,11.0,12.0,
476790257229493,2.0,1.0,
479580398091640,14.0,16.0,
490158398078357,,2.0,1.0
496705081934453,1.0,8.0,
504280974236840,11.0,13.0,
504424721622377,9.0,22.0,
513049510280006,6.0,8.0,1.0
550680803298069,,2.0,14.0
558576228719802,2.0,1.0,
560366278571652,14.0,4.0,
572229171998306,71.0,21.0,
581669390169753,135.0,253.0,
587674942934704,2.0,4.0,
608570483811428,19.0,100.0,
617894915126311,28.0,10.0,
628321108574330,16.0,2.0,
635563321059591,55.0,21.0,1.0
653318056246223,7.0,4.0,
661085140555155,2.0,6.0,
666906505510494,29.0,18.0,
670796309822097,7.0,2.0,
695250169032813,6.0,18.0,
698576324166461,3.0,6.0,
734478954482604,1.0,,1.0
790330283259107,1.0,,1.0
860437213521678,1.0,,10.0
936637619733676,3.0,,7.0
937624453106451,301.0,,4976.0
1012839673718406,5.0,,245.0
1026077759632952,39.0,,315.0
1067106972354716,1.0,,1.0
1215285019941982,2.0,,2.0
1225906413461687,1.0,,1.0
